AccountAge,MonthlyCharges,TotalCharges,SubscriptionType,PaymentMethod,PaperlessBilling,ContentType,MultiDeviceAccess,DeviceRegistered,ViewingHoursPerWeek,AverageViewingDuration,ContentDownloadsPerMonth,GenrePreference,UserRating,SupportTicketsPerMonth,Gender,WatchlistSize,ParentalControl,SubtitlesEnabled,CustomerID,Churn
92,12.86223528,1183.325646,Premium,Mailed check,No,Both,No,TV,20.67760959,42.68954631,29,Sci-Fi,3.180730042,7,Female,1,No,Yes,V44X5TCJGR,0
2,8.84870567,17.69741134,Basic,Mailed check,No,TV Shows,Yes,Tablet,5.1468581,159.1069066,12,Fantasy,4.281114555,8,Male,19,No,No,W0YTHAIAUY,0
1,12.29593912,12.29593912,Basic,Electronic check,No,TV Shows,No,TV,15.86271468,141.1859798,33,Comedy,1.872505715,7,Male,0,Yes,Yes,6Z1PLDG1XZ,0
107,10.18452339,1089.744003,Premium,Electronic check,No,Movies,Yes,Computer,3.515843467,134.3938525,22,Action,1.89126584,8,Female,4,Yes,No,H3TQG3L9LJ,0
89,10.86191407,966.7103522,Standard,Mailed check,Yes,Movies,No,TV,8.7918556,13.89175916,46,Fantasy,4.737702701,7,Male,3,Yes,No,OWE63QX8RO,1
90,8.469839772,762.2855794,Standard,Electronic check,No,Movies,No,Tablet,11.31348428,150.5599869,15,Sci-Fi,2.451070597,1,Female,15,No,Yes,P20YSQSLC1,0
32,9.765932558,312.5098419,Standard,Bank transfer,No,TV Shows,No,Computer,35.23557818,127.0426987,26,Sci-Fi,2.02300734,1,Female,12,No,No,658DPXFJGG,0
39,13.90001574,542.1006137,Premium,Mailed check,Yes,Movies,No,Computer,,85.4754633,40,Action,4.67799734,7,Male,5,Yes,Yes,KF36982VB6,0
26,17.73451914,461.0974976,Standard,Credit card,No,TV Shows,No,Mobile,11.2937117,30.80497901,47,Fantasy,3.128864975,5,Male,17,No,No,HT7CVNACDB,0
28,8.896816731,249.1108685,Standard,Electronic check,No,Both,Yes,TV,7.835438281,88.07273072,40,Action,4.551635705,8,Male,13,Yes,No,7ZZL4FILXA,1
41,6.413396126,262.9492411,Basic,Mailed check,No,TV Shows,No,Mobile,3.130763942,120.8199191,36,Sci-Fi,3.345166149,3,Female,11,No,Yes,73QXAMB8L8,0
59,8.54427602,504.1122852,Premium,Electronic check,Yes,Movies,Yes,TV,,78.03763736,34,Action,4.825971333,7,Male,17,Yes,No,PUF4MKQ45D,0
94,13.64369044,1282.506901,Standard,Mailed check,Yes,Both,No,Mobile,30.21439845,67.26773213,31,Action,3.073641255,4,Male,7,Yes,Yes,A4R3WF7IIH,0
24,13.75308009,330.0739221,Premium,Credit card,No,TV Shows,Yes,Mobile,15.76555686,85.64399038,48,Drama,4.365143915,7,Female,15,Yes,Yes,V0ESMD7EOX,0
68,9.799139573,666.341491,Premium,Mailed check,No,Both,Yes,Mobile,,,2,Sci-Fi,2.034933141,8,Female,9,Yes,No,6AXDSRPQOI,0
50,12.34750516,617.3752582,Standard,Credit card,Yes,Both,Yes,TV,7.295086236,,6,Drama,4.293218779,0,Female,13,Yes,Yes,EYLVDB5EN4,0
25,19.81751761,495.4379403,Basic,Electronic check,Yes,TV Shows,Yes,Mobile,34.14663183,32.24002562,49,Action,3.851024852,0,Female,24,Yes,Yes,4ZL2R1JD7H,0
23,19.4091863,446.4112849,Premium,Mailed check,No,TV Shows,Yes,Tablet,5.103647125,19.03481984,37,Drama,3.489602158,7,Male,20,No,No,1J8QD9J18F,1
25,8.064862458,201.6215615,Basic,Bank transfer,Yes,Movies,Yes,Computer,12.98426432,153.9233229,16,Comedy,2.239735604,1,Female,5,No,Yes,GKE8EWJSRY,0
106,16.71226132,1771.4997,Premium,Electronic check,No,Movies,No,Computer,18.35764235,137.279263,10,Action,2.120471547,3,Female,2,Yes,Yes,DS852LW3KW,0
117,18.97662088,2220.264643,Premium,Electronic check,No,Movies,No,Mobile,,117.0128992,14,Fantasy,4.601974186,1,Female,3,Yes,No,QE0TUOQ1XW,0
6,11.68869792,70.13218753,Premium,Electronic check,Yes,Both,No,Computer,25.35507769,,44,Fantasy,3.426119231,7,Female,7,No,Yes,WYBPKHR1EP,0
45,14.66572248,659.9575117,Basic,Credit card,Yes,TV Shows,No,Tablet,9.038183291,100.2553426,12,Sci-Fi,1.891080697,0,Female,9,No,Yes,IUMWMMZ54R,0
91,10.84154882,986.5809422,Basic,Electronic check,Yes,Movies,Yes,Mobile,3.351266535,176.0991869,44,Fantasy,3.212365073,6,Female,24,Yes,Yes,MQAC18BWWQ,0
61,6.434881458,392.5277689,Premium,Credit card,Yes,TV Shows,Yes,TV,38.31426781,12.4396248,12,Drama,1.160806861,3,Male,10,No,No,7DZK2AUTD5,0
48,19.06778104,915.2534899,Basic,Credit card,Yes,Movies,Yes,TV,1.680299179,18.64808601,2,Fantasy,2.504631853,1,Female,7,No,No,CG47TZOQQR,1
10,10.12338531,101.2338531,Standard,Electronic check,No,Both,Yes,Computer,14.76995365,46.692632,41,Action,3.541909295,2,Female,13,Yes,Yes,YFJF99MHR1,0
5,18.21985077,91.09925386,Basic,Electronic check,Yes,Movies,No,Tablet,,113.0303147,38,Sci-Fi,1.669002293,4,Male,5,No,No,GQH9OTJXML,0
69,12.22127086,843.2676892,Premium,Credit card,No,Both,No,Mobile,11.89015135,57.48584992,4,Fantasy,2.415902664,7,Male,14,No,No,B9KRJ48DPV,0
,12.87969238,1300.848931,Standard,Mailed check,Yes,TV Shows,Yes,Computer,1.568146567,33.35949623,9,Comedy,2.115329256,4,Female,13,Yes,Yes,PQCZLHST4V,1
,17.81077269,1585.15877,Basic,Credit card,Yes,Movies,Yes,Mobile,8.592178678,101.8389115,8,Drama,1.293361499,9,Male,23,Yes,Yes,G1U5YMXAVJ,1
32,15.51117227,496.3575127,Standard,Electronic check,Yes,Both,Yes,Tablet,1.191615898,166.9854155,26,Comedy,1.480845639,9,Male,16,Yes,No,9W2C6YCITB,0
68,12.20541544,829.9682497,Basic,Electronic check,Yes,Both,Yes,TV,4.048104425,139.3251259,18,Comedy,1.750462284,6,Male,23,Yes,Yes,J4R4FXQI8V,0
28,13.3691553,374.3363484,Basic,Electronic check,Yes,Movies,Yes,TV,,17.84398475,4,Action,2.747077746,9,Female,14,No,Yes,XLDKVW3WM6,1
,17.03953456,1635.795318,Basic,Mailed check,Yes,TV Shows,Yes,Mobile,7.943527629,69.88770945,19,Comedy,4.013723726,6,Female,22,Yes,No,YBZNZOIGZN,1
95,6.834110321,649.2404805,Basic,Bank transfer,No,Movies,Yes,Tablet,38.14516318,86.3887112,10,Fantasy,3.734933427,0,Male,24,Yes,No,PFNKIGNCSX,1
21,15.05879172,316.2346262,Premium,Credit card,No,TV Shows,No,Computer,20.42137281,161.0909901,23,Fantasy,1.959366512,6,Female,19,Yes,Yes,QSG5KIDP5L,0
42,12.45280072,523.0176302,Basic,Electronic check,No,TV Shows,No,Computer,24.75267862,70.78667795,49,Fantasy,1.075797084,9,Male,24,Yes,Yes,O86ZC4OM1J,0
94,7.036355466,661.4174138,Standard,Electronic check,No,TV Shows,Yes,TV,,101.1539998,10,Action,1.207449299,4,Male,16,No,Yes,4BR2OCXEQL,0
19,12.40034728,235.6065983,Standard,Bank transfer,No,Movies,Yes,Computer,31.93138668,174.7347708,2,Comedy,4.766913065,7,Male,15,No,No,PY9ZYTW9SQ,0
,17.69825358,1061.895215,Basic,Mailed check,No,Movies,Yes,Tablet,7.770260223,80.86998667,45,Action,3.796639863,0,Male,19,Yes,Yes,0WR5OUEG9O,0
12,16.2270513,194.7246156,Basic,Electronic check,No,Both,No,Tablet,31.09550039,44.60005914,38,Action,3.132357946,9,Male,11,No,Yes,2UQE9FYDOT,0
119,16.50713429,1964.348981,Premium,Electronic check,No,Both,No,TV,12.00581224,99.81513243,46,Drama,1.015711904,6,Male,21,No,No,TRP8URG3X3,0
116,13.64487094,1582.805029,Standard,Electronic check,No,TV Shows,No,Tablet,23.13298233,177.9922042,32,Fantasy,2.754932436,6,Male,2,Yes,No,D35Z1SYFT6,0
63,14.4861327,912.6263602,Basic,Bank transfer,No,TV Shows,No,TV,4.537417453,178.9249295,33,Sci-Fi,4.963519409,3,Female,10,No,Yes,2I0UJCV7RP,0
110,16.04951187,1765.446306,Standard,Credit card,No,Movies,Yes,Tablet,24.72903952,82.44942097,48,Drama,4.697354225,7,Male,11,Yes,No,6W1SQRIR4I,0
90,15.96182949,1436.564654,Standard,Bank transfer,Yes,TV Shows,No,Computer,10.29442281,138.4651178,5,Comedy,2.778015475,8,Female,16,Yes,No,DN8IGQ0JUZ,0
99,9.534411454,943.906734,Premium,Credit card,Yes,TV Shows,No,Mobile,,162.4086111,9,Fantasy,2.325182481,3,Female,1,No,Yes,HOV9NEF0WM,0
108,14.72919091,1590.752618,Standard,Bank transfer,No,Both,Yes,Mobile,11.22521953,45.78172946,18,Comedy,2.538994273,4,Male,21,No,No,7B97W0WN5W,1
,19.81995085,1506.316265,Basic,Electronic check,Yes,Both,Yes,Computer,1.04599741,101.3033118,19,Fantasy,3.572788236,3,Male,1,No,Yes,0SYTCH9F5Q,1
107,7.091947646,758.8383981,Basic,Credit card,No,TV Shows,No,Mobile,21.33982123,116.2275143,2,Sci-Fi,1.731810048,6,Female,20,Yes,Yes,DIZORXGS99,0
79,19.01943466,1502.535338,Standard,Credit card,No,TV Shows,No,Tablet,11.97458502,87.78952192,27,Fantasy,3.8333528,8,Female,0,No,No,SVUUYIBC9K,1
105,10.10578592,1061.107521,Standard,Bank transfer,No,Both,Yes,Computer,17.88447367,161.8641255,3,Comedy,4.700042061,8,Female,7,No,Yes,CJ2Z2HKK6J,0
114,10.74620333,1225.067179,Basic,Credit card,No,TV Shows,Yes,Mobile,1.106206602,69.09601316,13,Action,4.078362803,0,Male,5,No,No,2V1J243PK5,0
62,17.83036705,1105.482757,Premium,Electronic check,Yes,Movies,Yes,Computer,12.00728906,15.35890957,26,Action,4.769785156,2,Female,12,No,Yes,D0I9TYGK5N,1
45,6.883787903,309.7704557,Premium,Bank transfer,No,TV Shows,Yes,Mobile,9.107037845,154.2609768,5,Action,2.269196485,8,Male,20,Yes,Yes,YJ7Q9O19O1,1
5,11.43035026,57.15175132,Premium,Mailed check,No,TV Shows,Yes,TV,20.25400984,128.8882415,1,Sci-Fi,2.199002713,3,Male,21,No,No,B1H9UCS6SF,0
51,14.77954762,753.7569288,Standard,Electronic check,Yes,Both,No,Computer,3.437125357,72.39193947,47,Sci-Fi,3.116241972,2,Male,16,No,No,WTHKPHQFF4,0
25,13.16388494,329.0971236,Standard,Electronic check,Yes,TV Shows,Yes,Mobile,2.688221199,33.82487538,36,Comedy,2.266698548,0,Male,13,Yes,Yes,1F972CTW9E,1
105,10.7020251,1123.712636,Basic,Bank transfer,No,Movies,Yes,Computer,19.14563481,38.66841394,29,Fantasy,4.872910691,7,Female,6,No,Yes,BK3YHC4KFS,0
58,10.34716321,600.135466,Standard,Mailed check,Yes,Movies,No,Mobile,30.7764047,33.06534368,35,Drama,3.682179719,5,Male,16,Yes,No,SD8W5432OR,0
59,7.8733653,464.5285527,Basic,Credit card,No,Movies,No,Mobile,13.54455794,,36,Drama,2.984446352,7,Male,6,No,Yes,PUXH5CAULG,1
83,11.50902418,955.2490068,Standard,Credit card,Yes,TV Shows,No,TV,24.56186579,7.634035936,43,Sci-Fi,2.944010286,6,Female,22,No,Yes,H85J3E4RXC,0
53,16.19049097,858.0960212,Basic,Mailed check,No,Movies,Yes,Tablet,,151.9613808,12,Action,3.258594298,4,Female,23,No,Yes,B2S9FQR7PR,0
7,14.98605778,104.9024044,Standard,Mailed check,No,TV Shows,Yes,Computer,,32.700574,31,Action,3.430622534,5,Female,24,No,No,IU8MF7EFMZ,1
50,9.062864942,453.1432471,Premium,Credit card,No,Both,No,TV,8.219725349,11.77129955,33,Action,1.549303396,5,Male,3,Yes,No,VD6ZCGPFBB,1
33,14.24622029,470.1252696,Standard,Electronic check,No,Movies,No,TV,10.1512117,67.52668809,32,Drama,3.810248512,4,Female,4,No,No,J85CCZT4B0,0
114,6.51413222,742.6110731,Standard,Electronic check,No,Both,No,Tablet,30.3610096,20.81588336,21,Sci-Fi,4.233969222,5,Male,5,No,Yes,ZJDIVPVEV4,0
51,5.587364621,284.9555957,Premium,Credit card,Yes,Movies,No,Tablet,16.30090003,153.7506835,2,Sci-Fi,2.694526996,4,Female,0,No,No,L5LI0DWGIY,0
79,9.150742175,722.9086319,Premium,Mailed check,Yes,TV Shows,No,Tablet,9.761522968,68.66235943,7,Drama,3.66427577,3,Female,6,No,Yes,6PJAD9SFKE,1
,16.54021408,678.1487773,Standard,Mailed check,Yes,Both,Yes,Computer,7.557000043,45.56957624,7,Fantasy,2.599116522,1,Female,22,Yes,No,O5LEOZGHHX,0
92,8.045153566,740.154128,Premium,Credit card,Yes,TV Shows,Yes,Computer,,126.4750119,10,Sci-Fi,3.049475401,1,Male,9,Yes,Yes,4TWM4I0O8E,0
99,6.727033533,665.9763198,Standard,Credit card,Yes,Movies,Yes,TV,8.01983377,102.7380101,34,Action,2.549234304,0,Female,5,Yes,No,NZC2HOORGQ,0
,16.49584059,1039.237957,Standard,Mailed check,Yes,Movies,Yes,Mobile,7.354768649,63.84219297,45,Comedy,4.917166861,3,Female,3,No,No,L9IHZ57GZI,0
18,12.13831755,218.4897158,Standard,Bank transfer,No,Both,Yes,Tablet,,160.8017563,39,Fantasy,4.524604651,7,Female,8,Yes,Yes,HLEK1YQ1T6,0
18,7.067494814,127.2149066,Premium,Credit card,No,Movies,No,TV,37.14422151,70.22089875,44,Drama,3.807026314,0,Male,18,No,Yes,UYAURPTDLX,0
12,16.01392855,192.1671427,Premium,Mailed check,Yes,Both,No,TV,34.57980293,17.20146152,0,Sci-Fi,1.37529175,0,Female,16,Yes,No,UDC5DDQI0V,0
61,10.63685566,648.8481952,Standard,Electronic check,No,Both,No,Tablet,2.346003644,127.101416,38,Drama,3.408751266,7,Female,9,No,Yes,761DH3MSS6,0
105,8.651006334,908.355665,Standard,Electronic check,No,Both,Yes,Tablet,7.675660214,147.9738084,45,Sci-Fi,2.723676945,7,Female,1,No,No,RJCME8X8QX,0
71,19.95790329,1417.011133,Premium,Credit card,No,TV Shows,Yes,Tablet,13.7849705,143.850809,23,Sci-Fi,3.663728382,3,Male,10,No,No,222RNEDU1X,1
47,15.87791607,746.2620552,Premium,Credit card,Yes,Both,Yes,Computer,31.67550733,136.2200572,5,Action,2.682683975,7,Male,2,Yes,Yes,Q1RFGYA6B3,0
51,8.356555849,426.1843483,Premium,Electronic check,No,Movies,No,Tablet,5.186287226,87.34521599,28,Sci-Fi,2.047046164,9,Male,19,Yes,Yes,XFTGL3DLTX,0
5,11.97049174,59.8524587,Basic,Credit card,No,TV Shows,No,TV,28.66040119,93.49619182,18,Comedy,4.265800159,3,Male,7,No,No,VG5RF1WROY,1
19,6.098447047,115.8704939,Standard,Bank transfer,Yes,Both,Yes,Computer,16.6834053,142.6766079,40,Sci-Fi,2.335588368,4,Male,16,No,Yes,7SJ28479JH,0
101,14.7887218,1493.660902,Premium,Mailed check,Yes,TV Shows,Yes,TV,15.43213214,78.21356152,45,Action,3.878896986,3,Female,9,No,No,20IQJ977AA,0
83,16.72635214,1388.287228,Premium,Mailed check,Yes,Movies,No,TV,4.623774814,179.2153999,32,Fantasy,1.952400664,7,Male,10,No,No,TF5GCK6KKG,0
57,7.0527455,402.0064935,Premium,Electronic check,No,Both,Yes,TV,5.634567093,35.31184421,44,Comedy,1.65472416,9,Male,19,Yes,No,459SQE55Z2,0
104,8.645199515,899.1007496,Premium,Electronic check,Yes,Movies,Yes,Computer,31.13331905,118.8637862,5,Fantasy,4.789148558,9,Female,13,Yes,No,AQ3K7ATZF6,1
109,17.20185638,1875.002345,Standard,Mailed check,Yes,Both,No,Mobile,22.08812216,124.6702128,40,Action,3.655438944,7,Female,9,No,Yes,X3X6ETVL9U,0
37,8.988820899,332.5863733,Premium,Electronic check,Yes,TV Shows,Yes,TV,1.838081538,125.0307529,5,Sci-Fi,3.145165353,8,Male,4,No,No,7JK79OSFSD,1
,5.788293465,515.1581184,Premium,Credit card,No,Both,No,Computer,15.71647528,144.3888993,31,Drama,4.927677253,9,Female,10,Yes,Yes,ZLX01OAR0X,0
,16.5422932,529.3533825,Basic,Credit card,Yes,TV Shows,Yes,Computer,38.27021233,,38,Comedy,4.939198725,8,Male,23,Yes,Yes,IPFULDTED3,0
103,10.66297287,1098.286206,Basic,Bank transfer,Yes,TV Shows,Yes,TV,7.730364994,25.69383679,32,Drama,1.600979326,5,Female,13,Yes,Yes,CEKQTPL7Z9,1
115,7.309858086,840.6336799,Basic,Electronic check,No,TV Shows,No,TV,,66.39833991,44,Fantasy,4.538215394,4,Male,16,Yes,Yes,APHTRIWT46,0
84,15.14629091,1272.288437,Basic,Bank transfer,Yes,TV Shows,Yes,Mobile,23.27824393,154.6856591,23,Sci-Fi,2.512705783,0,Female,3,Yes,No,A3J893UF82,0
106,13.86943747,1470.160372,Standard,Electronic check,No,Movies,Yes,Tablet,25.79876325,57.18447657,40,Drama,1.928022559,3,Female,7,No,No,Y5KGO6DXZ3,0
76,12.14008196,922.6462289,Premium,Mailed check,Yes,Movies,No,Tablet,19.24071949,,28,Comedy,2.100949418,8,Male,19,No,Yes,XI3ET70YMO,0
50,12.35509792,617.7548961,Premium,Bank transfer,Yes,Movies,Yes,Tablet,5.162687077,138.3403495,36,Fantasy,1.142093955,4,Female,2,No,Yes,A6RU82AP0U,0
,17.39118747,313.0413745,Basic,Credit card,No,TV Shows,No,Tablet,18.93185765,80.72182886,27,Drama,2.531490416,8,Female,16,No,Yes,5AOM1YJJUR,1
2,15.20306066,30.40612131,Basic,Credit card,No,Movies,No,Computer,38.92067782,58.30621396,5,Comedy,1.089995018,1,Female,1,Yes,Yes,KJ0ZUA3DSL,1
71,16.33213279,1159.581428,Basic,Bank transfer,No,Both,Yes,TV,,27.75196597,22,Action,2.929005606,8,Female,21,No,No,0MDQV34V5B,0
16,5.113716185,81.81945896,Standard,Electronic check,No,TV Shows,No,Tablet,38.66381394,129.0336689,12,Comedy,3.241752406,4,Male,10,No,No,4Z8BOYZ9GM,1
8,14.56309613,116.5047691,Standard,Electronic check,No,Both,Yes,TV,23.68877274,64.44447612,6,Comedy,3.445685845,3,Female,17,No,No,T4IAD61WIF,1
107,18.49493153,1978.957674,Basic,Mailed check,No,TV Shows,No,Tablet,25.51696179,62.46592254,23,Drama,2.354554587,5,Female,6,Yes,Yes,3MCJNHMZEX,0
97,10.02862381,972.7765097,Standard,Mailed check,Yes,Both,Yes,TV,19.86698408,174.0115618,7,Drama,3.91337208,3,Male,23,Yes,Yes,91S47EMK4G,0
39,15.15875079,591.1912809,Premium,Mailed check,No,Movies,No,TV,16.45089902,108.7281124,0,Action,2.917562204,1,Male,10,Yes,No,MOQZNUSEQP,0
26,10.88873354,283.107072,Premium,Mailed check,No,Movies,No,Mobile,22.36253908,155.331243,4,Action,2.040484335,4,Male,20,No,Yes,5UE1EG77HC,0
82,10.30042375,844.6347475,Standard,Bank transfer,Yes,Movies,Yes,Mobile,13.83354958,174.2094996,34,Drama,2.421136578,7,Female,0,No,No,SV1AFUQYPQ,0
,14.36390093,1709.304211,Standard,Electronic check,Yes,Both,Yes,TV,13.31924166,159.9184851,48,Comedy,1.481446071,8,Female,0,No,No,UWAHHJZNWT,0
64,11.75214499,752.1372796,Basic,Credit card,Yes,Movies,Yes,Computer,30.36926337,65.48210333,41,Drama,3.87476906,1,Female,1,No,No,OVK30BOZ6X,0
24,19.13188586,459.1652605,Standard,Bank transfer,No,TV Shows,No,Mobile,13.76485588,15.14900984,15,Sci-Fi,3.408669902,8,Female,17,Yes,Yes,5QZ9VC3I76,0
60,6.584268802,395.0561281,Basic,Mailed check,No,TV Shows,No,Mobile,29.16677385,148.6920944,19,Drama,1.52305346,8,Male,1,Yes,Yes,34GCSZF76B,0
119,19.65439765,2338.87332,Premium,Electronic check,No,Movies,No,TV,36.07645776,150.278945,28,Fantasy,1.027959038,5,Male,13,Yes,No,WFN6772M7X,0
12,12.60522472,151.2626966,Standard,Credit card,No,Both,Yes,TV,38.00523412,33.00554002,40,Drama,3.758775453,5,Female,9,No,Yes,T6FSR2OSPT,0
119,11.86972944,1412.497803,Basic,Bank transfer,Yes,Movies,No,Mobile,23.55742711,49.46000471,31,Fantasy,4.704069286,3,Male,11,No,Yes,A8SZ4V353W,0
91,9.252240345,841.9538714,Standard,Credit card,Yes,Movies,No,Mobile,20.8610838,7.148979515,20,Fantasy,3.871386333,0,Male,6,No,No,C7OWCAD5DC,0
37,9.976327901,369.1241323,Standard,Credit card,No,Movies,No,Computer,38.5298855,64.71285216,1,Fantasy,1.645386825,2,Male,6,Yes,Yes,Q3UHZIMLH1,0
40,17.43665,697.466,Premium,Mailed check,Yes,Movies,No,TV,33.26078021,69.70474222,36,Comedy,2.940049002,0,Male,5,No,Yes,9AKQ0DHUYB,0
85,15.82637629,1345.241984,Premium,Credit card,No,TV Shows,No,Tablet,11.49405262,156.3347283,21,Action,1.203345332,1,Male,4,Yes,Yes,NNEZ1AZZUP,0
43,15.95649927,686.1294688,Standard,Mailed check,Yes,Movies,Yes,Tablet,29.27201302,41.00369532,30,Sci-Fi,1.781735219,7,Male,3,No,Yes,XPNW804LBU,0
11,6.797965304,74.77761835,Premium,Bank transfer,Yes,Both,No,TV,30.67411434,65.36070164,37,Comedy,3.48419124,1,Female,9,Yes,No,7EG64JJYZT,0
84,12.60463531,1058.789366,Premium,Electronic check,Yes,Movies,Yes,TV,16.93221664,144.0901785,39,Sci-Fi,1.633838851,4,Female,6,Yes,No,WXMKRVNB1M,0
68,16.11619375,1095.901175,Standard,Bank transfer,No,Movies,No,TV,29.0040818,147.7040762,8,Drama,1.887622666,6,Female,15,No,No,QLPRKB679O,0
43,7.445898057,320.1736165,Basic,Bank transfer,Yes,TV Shows,No,Computer,37.05895027,23.82891895,45,Sci-Fi,2.495507463,0,Female,14,No,Yes,4SK8Q5X2M3,0
63,13.48476751,849.5403534,Standard,Mailed check,Yes,TV Shows,No,Mobile,23.34039865,62.24766,47,Sci-Fi,4.361448437,8,Female,19,Yes,Yes,1BU63Y3PGM,0
